cell	t	lasR	LasR	lasI	LasI	AI1	LasRAI1
3	28.7114523429227	1	2	1	1	29	6
7	28.7335344426137	1	1	1	2	32	5
1	28.7610427666259	1	0	1	2	21	5
4	28.7979717369926	1	1	1	1	29	6
6	28.8893646340621	1	1	1	1	18	6
7	28.8955123917003	1	0	1	2	31	6
4	28.9000326370624	1	1	1	1	30	6
0	28.9074222225499	1	5	1	2	22	5
6	28.9215028540966	1	1	1	1	19	6
2	28.9401926262108	1	1	1	1	36	5
9	28.9655155012188	1	3	1	2	21	5
5	29.0074273416576	1	1	1	4	21	4
3	29.0565662676272	1	2	1	1	30	6
8	29.1459154480872	1	2	2	4	24	3
1	29.248593434113	1	1	1	2	22	4
6	29.248593678741	1	1	1	1	20	6
0	29.250999641415	1	5	1	2	23	5
5	29.2539743762894	1	1	1	4	20	4
8	29.2632801579742	1	2	2	4	25	3
3	29.2727491092368	1	2	1	1	31	6
9	29.28482301165	1	3	1	3	21	5
4	29.3001497807412	1	1	1	1	31	6
6	29.3284498723655	1	1	1	1	21	6
7	29.357660486406	1	0	1	2	32	6
1	29.394065453714	1	1	1	2	23	4
2	29.4457646934746	1	1	1	1	37	5
0	29.4487494300841	1	5	1	2	24	5
2	29.4533238556027	1	1	1	1	38	5
5	29.461725512126	1	1	1	4	21	4
9	29.4852759312629	1	3	1	3	22	5
8	29.5180202867626	1	2	2	4	24	3
7	29.5578429583251	1	1	1	2	33	5
6	29.6000360246538	1	1	1	1	20	6
3	29.6423778567254	1	2	1	1	32	6
4	29.6905003148853	1	1	1	1	32	6
1	29.7460645172536	1	1	1	2	24	4
9	29.7462630355143	1	3	1	3	23	5
6	29.7470983283123	1	1	1	1	21	6
2	29.7490810188459	1	1	1	1	39	5
2	29.7540812338697	1	1	1	1	38	5
3	29.7604507426726	1	2	1	1	31	6
1	29.767349109053	1	2	1	2	25	3
5	29.7796654552216	1	1	1	4	22	4
